,,date,location,total_cases,new_cases,total_deaths,people_vaccinated_per_hundred,population,death_rate
0,50234,2020-01-05,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50235,2020-01-06,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50236,2020-01-07,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50237,2020-01-08,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50238,2020-01-09,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50239,2020-01-10,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50240,2020-01-11,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50241,2020-01-12,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50242,2020-01-13,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50243,2020-01-14,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50244,2020-01-15,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50245,2020-01-16,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50246,2020-01-17,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50247,2020-01-18,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50248,2020-01-19,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50249,2020-01-20,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50250,2020-01-21,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50251,2020-01-22,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50252,2020-01-23,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50253,2020-01-24,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50254,2020-01-25,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50255,2020-01-26,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50256,2020-01-27,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50257,2020-01-28,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50258,2020-01-29,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50259,2020-01-30,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50260,2020-01-31,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50261,2020-02-01,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50262,2020-02-02,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50263,2020-02-03,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50264,2020-02-04,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50265,2020-02-05,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50266,2020-02-06,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50267,2020-02-07,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50268,2020-02-08,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50269,2020-02-09,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50270,2020-02-10,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50271,2020-02-11,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50272,2020-02-12,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50273,2020-02-13,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50274,2020-02-14,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50275,2020-02-15,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50276,2020-02-16,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50277,2020-02-17,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50278,2020-02-18,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50279,2020-02-19,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50280,2020-02-20,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50281,2020-02-21,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50282,2020-02-22,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50283,2020-02-23,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50284,2020-02-24,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50285,2020-02-25,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
0,50286,2020-02-26,Brazil,0.0,0.0,0.0,0.0,215313504,0.0
